rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled
3570,351–400,University of Cape Coast,45.0–46.9,3570,17.4,1428,20.7,718,99.1,24,63.4,242,44.7,807,master_account,11,/world-university-rankings/university-cape-coast,628164,Ghana,"28,451",35.5,0%,33 : 67,University of Cape Coast ucc,"Education,Accounting & Finance,General Engineering,Physics & Astronomy,Chemistry,Medicine & Dentistry,Sociology,History, Philosophy & Theology,Geography,Biological Sciences,Business & Management,Law,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Sport Science,Economics & Econometrics,Computer Science,Psychology,Languages, Literature & Linguistics,Agriculture & Forestry,Communication & Media Studies,Other Health,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics",False,False,False
3580,351–400,Catholic University of Portugal,45.0–46.9,3580,20.2,1110,19.2,782,97.8,47,38.8,1144,62.8,442,master_account,0,/world-university-rankings/universidade-catolica-portuguesa,131737,Portugal,"11,213",22.2,21%,63 : 37,Catholic University of Portugal,"Business & Management,Education,General Engineering,Economics & Econometrics,Accounting & Finance,Biological Sciences,Medicine & Dentistry,History, Philosophy & Theology,Computer Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Other Health,Psychology,Sociology,Art, Performing Arts & Design,Chemical Engineering,Law,Communication & Media Studies",False,False,False
3590,351–400,Central South University,45.0–46.9,3590,31.8,451,41.2,220,65.7,559,93.4,48,26.3,1408,master_account,0,/world-university-rankings/central-south-university,589367,China,"56,344",20.4,4%,,Central South University CSU Central South University,"Languages, Literature & Linguistics,Mathematics & Statistics,Medicine & Dentistry,Chemistry,Economics & Econometrics,General Engineering,Psychology,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Other Health,Biological Sciences,Sociology,History, Philosophy & Theology,Architecture,Civil Engineering,Accounting & Finance,Physics & Astronomy,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Law,Computer Science,Mechanical & Aerospace Engineering",False,False,False
3600,351–400,Charles Darwin University,45.0–46.9,3600,22.7,895,33.2,342,72.4,450,45.9,526,79.8,221,master_account,0,/world-university-rankings/charles-darwin-university,774,Australia,"7,246",34.5,30%,69 : 31,Charles Darwin University,"Languages, Literature & Linguistics,Civil Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Sport Science,Agriculture & Forestry,Education,Other Health,Communication & Media Studies,Law,Architecture,Art, Performing Arts & Design,Computer Science,Business & Management,Psychology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Accounting & Finance",False,False,False
3610,351–400,"City, University of London",45.0–46.9,3610,25.6,708,29.3,443,69.0,504,38.3,1221,95.0,43,master_account,0,/world-university-rankings/city-university-london,912,United Kingdom,"15,460",18.2,51%,57 : 43,"City, University of London","Electrical & Electronic Engineering,Psychology,History, Philosophy & Theology,Languages, Literature & Linguistics,Economics & Econometrics,Mathematics & Statistics,Sociology,Art, Performing Arts & Design,Law,Politics & International Studies (incl Development Studies),Computer Science,Other Health,Business & Management,Accounting & Finance,General Engineering,Civil Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering",False,False,False
3620,351–400,University of Delaware,45.0–46.9,3620,28.8,571,39.0,252,64.9,573,91.4,61,51.5,636,public,0,/world-university-rankings/university-delaware,644,United States,"21,808",16.3,12%,57 : 43,University of Delaware,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Psychology,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Business & Management,Biological Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Agriculture & Forestry,Architecture,Computer Science,Sport Science,Sociology,Economics & Econometrics,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemical Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,History, Philosophy & Theology,Education,Chemistry,Communication & Media Studies",False,False,False
3630,351–400,East China Normal University,45.0–46.9,3630,37.5,289,32.6,365,62.0,621,54.4,331,54.7,581,master_account,0,/world-university-rankings/east-china-normal-university,976,China,"28,055",14.7,11%,64 : 36,East China Normal University ecnu,"Sport Science,Business & Management,Communication & Media Studies,Law,Education,Electrical & Electronic Engineering,Economics & Econometrics,Mathematics & Statistics,Physics & Astronomy,Computer Science,Psychology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Geography,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Biological Sciences,Sociology,General Engineering,Chemistry",False,False,False
3640,351–400,Edith Cowan University,45.0–46.9,3640,20.1,1119,25.3,546,80.4,307,40.7,871,87.4,146,master_account,11,/world-university-rankings/edith-cowan-university,922,Australia,"18,759",30.4,28%,60 : 40,Edith Cowan University ecu edith cowan,"Other Health,Languages, Literature & Linguistics,Civil Engineering,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Education,Mathematics & Statistics,Chemical Engineering,Chemistry,General Engineering,Business & Management,Law,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Biological Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sport Science,Computer Science,Geology, Environmental, Earth & Marine Sciences,Sociology,Agriculture & Forestry,Psychology",False,False,False
3650,351–400,Golestan University of Medical Sciences,45.0–46.9,3650,33.7,386,8.9,1658,100.0,4,37.0,1669,33.3,1156,master_account,0,/world-university-rankings/golestan-university-medical-sciences,700388,Iran,"3,721",11.5,11%,60 : 40,Golestan University of Medical Sciences,"Medicine & Dentistry,Biological Sciences,Other Health",False,False,False
3660,351–400,University of Greifswald,45.0–46.9,3660,31.9,448,26.9,501,77.6,366,42.0,749,56.7,537,master_account,0,/world-university-rankings/university-greifswald,131277,Germany,"10,291",20.6,8%,58 : 42,University of Greifswald,"Computer Science,Law,Psychology,Mathematics & Statistics,Biological Sciences,Other Health,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Business & Management,Geography,Economics & Econometrics,Accounting & Finance,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Physics & Astronomy,Education,History, Philosophy & Theology",False,False,False
3670,351–400,University of Hail,45.0–46.9,3670,18.0,1340,9.2,1614,98.7,32,42.8,696,82.3,190,master_account,0,/world-university-rankings/university-hail,704053,Saudi Arabia,"19,366",11.2,10%,63 : 37,University of Hail,"Languages, Literature & Linguistics,Medicine & Dentistry,Computer Science,Accounting & Finance,Biological Sciences,Business & Management,Other Health,Sport Science,Physics & Astronomy,Communication & Media Studies,Education,Chemistry,Sociology,Archaeology,Chemical Engineering,Mechanical & Aerospace Engineering,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Geography,General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Architecture,Economics & Econometrics,Law,Civil Engineering",False,False,False
3680,351–400,Harbin Institute of Technology,45.0–46.9,3680,44.2,170,46.9,157,49.0,869,99.6,18,27.6,1361,master_account,0,/world-university-rankings/harbin-institute-technology,827,China,"30,542",10.5,6%,,Harbin Institute of Technology,"Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Chemistry,Law,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Computer Science,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Civil Engineering",False,False,False
